Die Zeile 1 wurde 1mal  mit einem Anteil von 0,0001% aufgerufen. 
Die Zeile 2 wurde 1mal  mit einem Anteil von 0,0001% aufgerufen. 
Die Zeile 3 wurde 1mal  mit einem Anteil von 0,0001% aufgerufen. 
Die Zeile 4 wurde 1mal  mit einem Anteil von 0,0001% aufgerufen. 
Die Zeile 5 wurde 1mal  mit einem Anteil von 0,0001% aufgerufen. 
Die Zeile 6 wurde 1mal  mit einem Anteil von 0,0001% aufgerufen. 
Die Zeile 7 wurde 1mal  mit einem Anteil von 0,0001% aufgerufen. 
Die Zeile 8 wurde 1mal  mit einem Anteil von 0,0001% aufgerufen. 
Die Zeile 9 wurde 20mal  mit einem Anteil von 0,0023% aufgerufen. 
Die Zeile 10 wurde 20mal  mit einem Anteil von 0,0023% aufgerufen. 
Die Zeile 11 wurde 20mal  mit einem Anteil von 0,0023% aufgerufen. 
Die Zeile 12 wurde 20mal  mit einem Anteil von 0,0023% aufgerufen. 
Die Zeile 13 wurde 20mal  mit einem Anteil von 0,0023% aufgerufen. 
Die Zeile 14 wurde 20mal  mit einem Anteil von 0,0023% aufgerufen. 
Die Zeile 15 wurde 20mal  mit einem Anteil von 0,0023% aufgerufen. 
Die Zeile 16 wurde 19mal  mit einem Anteil von 0,0022% aufgerufen. 
Die Zeile 17 wurde 57290mal  mit einem Anteil von 6,6455% aufgerufen. 
Die Zeile 18 wurde 57290mal  mit einem Anteil von 6,6455% aufgerufen. 
Die Zeile 19 wurde 57290mal  mit einem Anteil von 6,6455% aufgerufen. 
Die Zeile 20 wurde 57290mal  mit einem Anteil von 6,6455% aufgerufen. 
Die Zeile 21 wurde 57290mal  mit einem Anteil von 6,6455% aufgerufen. 
Die Zeile 22 wurde 57290mal  mit einem Anteil von 6,6455% aufgerufen. 
Die Zeile 23 wurde 46345mal  mit einem Anteil von 5,3759% aufgerufen. 
Die Zeile 24 wurde 46345mal  mit einem Anteil von 5,3759% aufgerufen. 
Die Zeile 25 wurde 28635mal  mit einem Anteil von 3,3216% aufgerufen. 
Die Zeile 26 wurde 28635mal  mit einem Anteil von 3,3216% aufgerufen. 
Die Zeile 27 wurde 28635mal  mit einem Anteil von 3,3216% aufgerufen. 
Die Zeile 28 wurde 28635mal  mit einem Anteil von 3,3216% aufgerufen. 
Die Zeile 29 wurde 28635mal  mit einem Anteil von 3,3216% aufgerufen. 
Die Zeile 30 wurde 28635mal  mit einem Anteil von 3,3216% aufgerufen. 
Die Zeile 31 wurde 28635mal  mit einem Anteil von 3,3216% aufgerufen. 
Die Zeile 32 wurde 28635mal  mit einem Anteil von 3,3216% aufgerufen. 
Die Zeile 33 wurde 17710mal  mit einem Anteil von 2,0543% aufgerufen. 
Die Zeile 34 wurde 17710mal  mit einem Anteil von 2,0543% aufgerufen. 
Die Zeile 35 wurde 17710mal  mit einem Anteil von 2,0543% aufgerufen. 
Die Zeile 36 wurde 17710mal  mit einem Anteil von 2,0543% aufgerufen. 
Die Zeile 37 wurde 17710mal  mit einem Anteil von 2,0543% aufgerufen. 
Die Zeile 38 wurde 17710mal  mit einem Anteil von 2,0543% aufgerufen. 
Die Zeile 39 wurde 17710mal  mit einem Anteil von 2,0543% aufgerufen. 
Die Zeile 40 wurde 17710mal  mit einem Anteil von 2,0543% aufgerufen. 
Die Zeile 41 wurde 10945mal  mit einem Anteil von 1,2696% aufgerufen. 
Die Zeile 42 wurde 10945mal  mit einem Anteil von 1,2696% aufgerufen. 
Die Zeile 43 wurde 10945mal  mit einem Anteil von 1,2696% aufgerufen. 
Die Zeile 44 wurde 10945mal  mit einem Anteil von 1,2696% aufgerufen. 
Die Zeile 45 wurde 10945mal  mit einem Anteil von 1,2696% aufgerufen. 
Die Zeile 46 wurde 1mal  mit einem Anteil von 0,0001% aufgerufen. 
Die Zeile 47 wurde 1mal  mit einem Anteil von 0,0001% aufgerufen. 
